index,sname,pname,price
17,카카오쇼핑, Dole 베트남 바나나 4.4kg (2.2kg*2송이),err
18,카카오쇼핑, 아삭한 나주 햇 신고배 3kg 4-7과 (가정용/정품),err
19,카카오쇼핑, 경북 청도 김태한님의 청도반시 홍시 2.5kg,err
20,카카오쇼핑, 2021년도 비가림 하우스 감귤 3kg 5kg (3kg 2개 구매시 4kg 추가증정),err
21,카카오쇼핑," 더블제이유 샤인머스켓 2Kg 3수,4수",err
22,카카오쇼핑, 제주 서귀포 햇 감귤 로얄과 4.5kg,err
23,카카오쇼핑, [PSK] 미국산 캔디하트 씨없는 적포도 1.6kg,err
24,카카오쇼핑," 직접 만들어 먹는 홍시, 청도반시 5kg (41-45과)/홍시용/중소과",err
25,카카오쇼핑, 국내산 고당도 정품 노지 샤인머스켓 1kg내외(2수),err
26,카카오쇼핑," 익혀먹는 씨 없는 감, 청도반시5kg(홍시용)",err
27,카카오쇼핑, 무농약 꿀보다 달콤한 영암 무화과 600g (8-10과),err
28,카카오쇼핑, 무료배송 친환경무농약 영암 특 무화과 600g 1.2kg +아이스포장,err
29,카카오쇼핑, 때깔찬 아보카도 대과 10개/개당 220g내외/2개 구매시 4과 추가증정,err
30,카카오쇼핑, 씨가 없는 고당도 청도반시5kg(홍시용),err
 
온브릭스/국산과일
1,온브릭스,"망고향 가득, 고당도 프리미엄 샤인머스켓 1.2kg이상/ 특등급 2kg이상 ( 특품 )","29,800원"
2,온브릭스,"프리미엄의 정석, 시나노 골드 황금사과 2kg이상 ( 7~8입 / 특품 )","16,900원"
3,온브릭스,"프리미엄 대추, 과일처럼 즐기는 사과대추 1kg이상 (500g*2팩/특품)","18,900원"
4,온브릭스,"당도의 자신감, 문경 고당도 사과 2kg이상 ( 7~8입 / 특품 )","15,900원"
5,온브릭스,"항공직송, 프리미엄 태국 골드망고 1.8kg 이상 (5~6입/특품)","27,900원"
6,온브릭스,"100일의 결실, 부드럽고 달콤한 얼스 멜론 2kg이상 (1입/특품)","15,900원"
7,온브릭스,"망고향 가득, 고당도 프리미엄 샤인머스켓 650g이상 ( 1송이 / 특품 )","19,800원"
8,온브릭스,"항공직송, 고당도 프리미엄 애플망고 2.2kg 이상 (5~6입/특품)","53,800원"
9,온브릭스,"감과 배의 조화로운 맛남, 제철 고당도 태추단감 1.6kg이상 (6~7입/특품)","27,900원"
10,온브릭스,"달콤한 맛남, 항공직송 애플망고 & 태국망고 혼합 2.5kg 이상 (6입/특품)","43,800원"
11,온브릭스,"100일의 결실, 부드럽고 달콤한 얼스 멜론 3.2kg이상 (2입/특품)","23,900원"
12,온브릭스,"가을 제주의 여왕, 과즙가득 달콤한 황금향 2kg 이상 (6~9과/특퓸)","23,900원"
13,온브릭스,"망고향 가득, 고당도 프리미엄 샤인머스켓 1.2kg이상/ 특등급 2kg이상 ( 특품 )","29,800원"
14,온브릭스,"프리미엄의 정석, 시나노 골드 황금사과 2kg이상 ( 7~8입 / 특품 )","16,900원"
15,온브릭스,"프리미엄 대추, 과일처럼 즐기는 사과대추 1kg이상 (500g*2팩/특품)","18,900원"
온브릭스/수입과일
1,온브릭스,"숲 속의 버터, 풍미 가득 아보카도 1.6kg 이상 (8입/특품)","15,900원"
2,온브릭스,"프리미엄의 정석, 제스프리 썬 골드키위 1.7kg이상 (2팩/14입)","22,900원"
3,온브릭스,"[소담과] 황금빛 태양의 과일, 제스프리 골드키위 900g이상(특품)","11,900원"
4,온브릭스,[소담과] 숲 속의 버터 아보카도 800g 이상 (4입),"7,000원"
5,온브릭스,"[소담과] 뜨거운 태양의 과일, 자몽 2.1kg이상(5입/특품)","10,900원"
